title,authors,published,url
A Deep Reinforcement Learning Approach for Ramp Metering Based on Traffic Video Data,"['Bing Liu', 'Yu Tang', 'Yuxiong Ji', 'Yu Shen', 'Yuchuan Du']",2020-12-09T05:08:41Z,https://arxiv.org/abs/2012.12104v1
Rethink AI-based Power Grid Control: Diving Into Algorithm Design,"['Xiren Zhou', 'Siqi Wang', 'Ruisheng Diao', 'Desong Bian', 'Jiahui Duan', 'Di Shi']",2020-12-23T23:38:41Z,https://arxiv.org/abs/2012.13026v1
Fuzzy Commitments Offer Insufficient Protection to Biometric Templates Produced by Deep Learning,"['Danny Keller', 'Margarita Osadchy', 'Orr Dunkelman']",2020-12-24T15:28:33Z,https://arxiv.org/abs/2012.13293v1
Generalization in portfolio-based algorithm selection,"['Maria-Florina Balcan', 'Tuomas Sandholm', 'Ellen Vitercik']",2020-12-24T16:33:17Z,https://arxiv.org/abs/2012.13315v1
"I like fish, especially dolphins: Addressing Contradictions in Dialogue Modeling","['Yixin Nie', 'Mary Williamson', 'Mohit Bansal', 'Douwe Kiela', 'Jason Weston']",2020-12-24T18:47:49Z,https://arxiv.org/abs/2012.13391v2
Skeleton-based Approaches based on Machine Vision: A Survey,"['Jie Li', 'Binglin Li', 'Min Gao']",2020-12-23T02:03:37Z,https://arxiv.org/abs/2012.12447v1
Overview of FPGA deep learning acceleration based on convolutional neural network,['Simin Liu'],2020-12-23T12:44:24Z,https://arxiv.org/abs/2012.12634v1
Modelling Human Routines: Conceptualising Social Practice Theory for Agent-Based Simulation,"['Rijk Mercuur', 'Virginia Dignum', 'Catholijn M. Jonker']",2020-12-22T10:06:47Z,https://arxiv.org/abs/2012.11903v1
Dynamic-K Recommendation with Personalized Decision Boundary,"['Yan Gao', 'Jiafeng Guo', 'Yanyan Lan', 'Huaming Liao']",2020-12-25T13:02:57Z,https://arxiv.org/abs/2012.13569v1
Compliance Generation for Privacy Documents under GDPR: A Roadmap for Implementing Automation and Machine Learning,"['David Restrepo Amariles', 'Aurore Clément Troussel', 'Rajaa El Hamdani']",2020-12-23T14:46:51Z,https://arxiv.org/abs/2012.12718v1
PaXNet: Dental Caries Detection in Panoramic X-ray using Ensemble Transfer Learning and Capsule Classifier,"['Arman Haghanifar', 'Mahdiyar Molahasani Majdabadi', 'Seok-Bum Ko']",2020-12-26T03:00:35Z,https://arxiv.org/abs/2012.13666v1
Toward Compact Data from Big Data,"['Song-Kyoo', 'Kim']",2020-12-26T04:45:40Z,https://arxiv.org/abs/2012.13677v1
Towards sample-efficient episodic control with DAC-ML,"['Ismael T. Freire', 'Adrián F. Amil', 'Vasiliki Vouloutsi', 'Paul F. M. J. Verschure']",2020-12-26T16:38:08Z,https://arxiv.org/abs/2012.13779v1
Neural document expansion for ad-hoc information retrieval,"['Cheng Tang', 'Andrew Arnold']",2020-12-27T20:00:08Z,https://arxiv.org/abs/2012.14005v1
Devil is in the Edges: Learning Semantic Boundaries from Noisy Annotations,"['David Acuna', 'Amlan Kar', 'Sanja Fidler']",2019-04-16T19:16:57Z,https://arxiv.org/abs/1904.07934v2
How to define co-occurrence in different domains of study?,['Mathieu Roche'],2019-04-16T23:16:56Z,https://arxiv.org/abs/1904.08010v1
Decision Making with Machine Learning and ROC Curves,"['Kai Feng', 'Han Hong', 'Ke Tang', 'Jingyuan Wang']",2019-05-05T08:01:23Z,https://arxiv.org/abs/1905.02810v1
Feature Selection and Feature Extraction in Pattern Analysis: A Literature Review,"['Benyamin Ghojogh', 'Maria N. Samad', 'Sayema Asif Mashhadi', 'Tania Kapoor', 'Wahab Ali', 'Fakhri Karray', 'Mark Crowley']",2019-05-07T23:41:34Z,https://arxiv.org/abs/1905.02845v1
AI-Powered Text Generation for Harmonious Human-Machine Interaction: Current State and Future Directions,"['Qiuyun Zhang', 'Bin Guo', 'Hao Wang', 'Yunji Liang', 'Shaoyang Hao', 'Zhiwen Yu']",2019-05-01T23:26:38Z,https://arxiv.org/abs/1905.01984v1
Conditioning LSTM Decoder and Bi-directional Attention Based Question Answering System,['Heguang Liu'],2019-05-02T01:07:20Z,https://arxiv.org/abs/1905.02019v1
2-bit Model Compression of Deep Convolutional Neural Network on ASIC Engine for Image Retrieval,"['Bin Yang', 'Lin Yang', 'Xiaochun Li', 'Wenhan Zhang', 'Hua Zhou', 'Yequn Zhang', 'Yongxiong Ren', 'Yinbo Shi']",2019-05-08T21:48:42Z,https://arxiv.org/abs/1905.03362v1
Variable Neighborhood Search for the Bin Packing Problem with Compatible Categories,"['Luiz F. O. Moura Santos', 'Hugo T. Y. Yoshizaki', 'Claudio B. Cunha']",2019-05-09T03:14:15Z,https://arxiv.org/abs/1905.03427v1
Robust Federated Training via Collaborative Machine Teaching using Trusted Instances,"['Yufei Han', 'Xiangliang Zhang']",2019-05-08T07:27:04Z,https://arxiv.org/abs/1905.02941v1
Image Matters: Scalable Detection of Offensive and Non-Compliant Content / Logo in Product Images,"['Shreyansh Gandhi', 'Samrat Kokkula', 'Abon Chaudhuri', 'Alessandro Magnani', 'Theban Stanley', 'Behzad Ahmadi', 'Venkatesh Kandaswamy', 'Omer Ovenc', 'Shie Mannor']",2019-05-06T18:35:28Z,https://arxiv.org/abs/1905.02234v2
