name,source,url
openai,GitHub Organizations,https://github.com/openai
microsoft,GitHub Organizations,https://github.com/microsoft
deepseek-ai,GitHub Organizations,https://github.com/deepseek-ai
github,GitHub Organizations,https://github.com/github
google,GitHub Organizations,https://github.com/google
anthropics,GitHub Organizations,https://github.com/anthropics
huggingface,GitHub Organizations,https://github.com/huggingface
TheAlgorithms,GitHub Organizations,https://github.com/TheAlgorithms
EpicGames,GitHub Organizations,https://github.com/EpicGames
modelcontextprotocol,GitHub Organizations,https://github.com/modelcontextprotocol
Microsoft-corp,GitHub Organizations,https://github.com/Microsoft-corp
apple,GitHub Organizations,https://github.com/apple
facebookresearch,GitHub Organizations,https://github.com/facebookresearch
facebook,GitHub Organizations,https://github.com/facebook
Visual-Studio-Code,GitHub Organizations,https://github.com/Visual-Studio-Code
freeCodeCamp,GitHub Organizations,https://github.com/freeCodeCamp
python,GitHub Organizations,https://github.com/python
community,GitHub Organizations,https://github.com/community
ReVanced,GitHub Organizations,https://github.com/ReVanced
datawhalechina,GitHub Organizations,https://github.com/datawhalechina
vercel,GitHub Organizations,https://github.com/vercel
brahmGAN,GitHub Organizations,https://github.com/brahmGAN
NVIDIA,GitHub Organizations,https://github.com/NVIDIA
google-deepmind,GitHub Organizations,https://github.com/google-deepmind
apache,GitHub Organizations,https://github.com/apache
dotnet,GitHub Organizations,https://github.com/dotnet
termux,GitHub Organizations,https://github.com/termux
openclaw,GitHub Organizations,https://github.com/openclaw
flutter,GitHub Organizations,https://github.com/flutter
tensorflow,GitHub Organizations,https://github.com/tensorflow
GoogleCloudPlatform,GitHub Organizations,https://github.com/GoogleCloudPlatform
cs50,GitHub Organizations,https://github.com/cs50
vuejs,GitHub Organizations,https://github.com/vuejs
tachiyomiorg,GitHub Organizations,https://github.com/tachiyomiorg
langchain-ai,GitHub Organizations,https://github.com/langchain-ai
alibaba,GitHub Organizations,https://github.com/alibaba
home-assistant,GitHub Organizations,https://github.com/home-assistant
unicitynetwork,GitHub Organizations,https://github.com/unicitynetwork
PacktPublishing,GitHub Organizations,https://github.com/PacktPublishing
android,GitHub Organizations,https://github.com/android
bytedance,GitHub Organizations,https://github.com/bytedance
aws-samples,GitHub Organizations,https://github.com/aws-samples
QwenLM,GitHub Organizations,https://github.com/QwenLM
codecrafters-io,GitHub Organizations,https://github.com/codecrafters-io
rust-lang,GitHub Organizations,https://github.com/rust-lang
spring-projects,GitHub Organizations,https://github.com/spring-projects
google-research,GitHub Organizations,https://github.com/google-research
nodejs,GitHub Organizations,https://github.com/nodejs
aws,GitHub Organizations,https://github.com/aws
ossu,GitHub Organizations,https://github.com/ossu
charmbracelet,GitHub Organizations,https://github.com/charmbracelet
twitter,GitHub Organizations,https://github.com/twitter
ethereum,GitHub Organizations,https://github.com/ethereum
flipperdevices,GitHub Organizations,https://github.com/flipperdevices
Azure,GitHub Organizations,https://github.com/Azure
docker,GitHub Organizations,https://github.com/docker
twbs,GitHub Organizations,https://github.com/twbs
google-gemini,GitHub Organizations,https://github.com/google-gemini
cloudflare,GitHub Organizations,https://github.com/cloudflare
netlify,GitHub Organizations,https://github.com/netlify
n8n-io,GitHub Organizations,https://github.com/n8n-io
kubernetes,GitHub Organizations,https://github.com/kubernetes
tsoding,GitHub Organizations,https://github.com/tsoding
intel-innersource,GitHub Organizations,https://github.com/intel-innersource
Stability-AI,GitHub Organizations,https://github.com/Stability-AI
Tencent,GitHub Organizations,https://github.com/Tencent
pytorch,GitHub Organizations,https://github.com/pytorch
JetBrains,GitHub Organizations,https://github.com/JetBrains
obsidianmd,GitHub Organizations,https://github.com/obsidianmd
mdn,GitHub Organizations,https://github.com/mdn
ValveSoftware,GitHub Organizations,https://github.com/ValveSoftware
Unity-Technologies,GitHub Organizations,https://github.com/Unity-Technologies
open-mmlab,GitHub Organizations,https://github.com/open-mmlab
golang,GitHub Organizations,https://github.com/golang
THUDM,GitHub Organizations,https://github.com/THUDM
uprockcom,GitHub Organizations,https://github.com/uprockcom
godotengine,GitHub Organizations,https://github.com/godotengine
HKUDS,GitHub Organizations,https://github.com/HKUDS
lmstudio-ai,GitHub Organizations,https://github.com/lmstudio-ai
projectdiscovery,GitHub Organizations,https://github.com/projectdiscovery
EurekaLabsAI,GitHub Organizations,https://github.com/EurekaLabsAI
OWASP,GitHub Organizations,https://github.com/OWASP
replicate,GitHub Organizations,https://github.com/replicate
TheOdinProject,GitHub Organizations,https://github.com/TheOdinProject
awslabs,GitHub Organizations,https://github.com/awslabs
meta-llama,GitHub Organizations,https://github.com/meta-llama
ultralytics,GitHub Organizations,https://github.com/ultralytics
laravel,GitHub Organizations,https://github.com/laravel
TanStack,GitHub Organizations,https://github.com/TanStack
intel-sandbox,GitHub Organizations,https://github.com/intel-sandbox
NVlabs,GitHub Organizations,https://github.com/NVlabs
skills,GitHub Organizations,https://github.com/skills
nextcloud,GitHub Organizations,https://github.com/nextcloud
EbookFoundation,GitHub Organizations,https://github.com/EbookFoundation
mozilla,GitHub Organizations,https://github.com/mozilla
hashicorp,GitHub Organizations,https://github.com/hashicorp
supabase,GitHub Organizations,https://github.com/supabase
zen-browser,GitHub Organizations,https://github.com/zen-browser
iptv-org,GitHub Organizations,https://github.com/iptv-org
discord,GitHub Organizations,https://github.com/discord
actions,GitHub Organizations,https://github.com/actions
bitwarden,GitHub Organizations,https://github.com/bitwarden
signalapp,GitHub Organizations,https://github.com/signalapp
code50,GitHub Organizations,https://github.com/code50
base-org,GitHub Organizations,https://github.com/base-org
catppuccin,GitHub Organizations,https://github.com/catppuccin
AsahiLinux,GitHub Organizations,https://github.com/AsahiLinux
Netflix,GitHub Organizations,https://github.com/Netflix
astral-sh,GitHub Organizations,https://github.com/astral-sh
tc39,GitHub Organizations,https://github.com/tc39
pmndrs,GitHub Organizations,https://github.com/pmndrs
xai-org,GitHub Organizations,https://github.com/xai-org
unicity-astrid,GitHub Organizations,https://github.com/unicity-astrid
scroll-tech,GitHub Organizations,https://github.com/scroll-tech
desktop,GitHub Organizations,https://github.com/desktop
django,GitHub Organizations,https://github.com/django
cursoemvideo,GitHub Organizations,https://github.com/cursoemvideo
dair-ai,GitHub Organizations,https://github.com/dair-ai
bosch-copilot,GitHub Organizations,https://github.com/bosch-copilot
ollama,GitHub Organizations,https://github.com/ollama
tailwindlabs,GitHub Organizations,https://github.com/tailwindlabs
nasa,GitHub Organizations,https://github.com/nasa
digitalinnovationone,GitHub Organizations,https://github.com/digitalinnovationone
MicrosoftLearning,GitHub Organizations,https://github.com/MicrosoftLearning
MicrosoftDocs,GitHub Organizations,https://github.com/MicrosoftDocs
bluesky-social,GitHub Organizations,https://github.com/bluesky-social
bitcoin,GitHub Organizations,https://github.com/bitcoin
angular,GitHub Organizations,https://github.com/angular
mistralai,GitHub Organizations,https://github.com/mistralai
Azure-Samples,GitHub Organizations,https://github.com/Azure-Samples
fireship-io,GitHub Organizations,https://github.com/fireship-io
NationalSecurityAgency,GitHub Organizations,https://github.com/NationalSecurityAgency
GrapheneOS,GitHub Organizations,https://github.com/GrapheneOS
odoo,GitHub Organizations,https://github.com/odoo
IBM,GitHub Organizations,https://github.com/IBM
Shopify,GitHub Organizations,https://github.com/Shopify
espressif,GitHub Organizations,https://github.com/espressif
zero-to-mastery,GitHub Organizations,https://github.com/zero-to-mastery
worldcoin,GitHub Organizations,https://github.com/worldcoin
shadowsocks,GitHub Organizations,https://github.com/shadowsocks
git-ecosystem,GitHub Organizations,https://github.com/git-ecosystem
DataTalksClub,GitHub Organizations,https://github.com/DataTalksClub
taikoxyz,GitHub Organizations,https://github.com/taikoxyz
Fuelet,GitHub Organizations,https://github.com/Fuelet
w3c,GitHub Organizations,https://github.com/w3c
vercel-labs,GitHub Organizations,https://github.com/vercel-labs
cncf,GitHub Organizations,https://github.com/cncf
open-telemetry,GitHub Organizations,https://github.com/open-telemetry
intel-restricted,GitHub Organizations,https://github.com/intel-restricted
massgravel,GitHub Organizations,https://github.com/massgravel
EddieHubCommunity,GitHub Organizations,https://github.com/EddieHubCommunity
FossifyOrg,GitHub Organizations,https://github.com/FossifyOrg
spaceandtimefdn,GitHub Organizations,https://github.com/spaceandtimefdn
PaddlePaddle,GitHub Organizations,https://github.com/PaddlePaddle
alura-cursos,GitHub Organizations,https://github.com/alura-cursos
raspberrypi,GitHub Organizations,https://github.com/raspberrypi
firebase,GitHub Organizations,https://github.com/firebase
